"VarName","TimeString","VarValue","Validity","Time_ms"
"mp-fen1_DB_Sts_Temperature_Cel","2024-09-24 09:43:37","24.9","1","45559405293.7847"
"mp-fen1_DB_Sts_InstantaneousFlow_m3h","2024-09-24 09:43:37","2.3","1","45559405293.7847"
"mp-fen1_DB_Sts_Pressure_MPa","2024-09-24 09:43:37","0.013","1","45559405293.7847"
"mp-fen1_DB_Sts_Humidity_pct","2024-09-24 09:43:37","49.0","1","45559405293.7847"
"mp-fen1_DB_Sts_DewPoint_cel","2024-09-24 09:43:37","5.0","1","45559405293.7847"
"mp-fen1_DB_Sts_Temperature_Cel","2024-09-24 09:43:42","24.9","1","45559405351.8866"
"mp-fen1_DB_Sts_InstantaneousFlow_m3h","2024-09-24 09:43:42","2.3","1","45559405351.8866"
"mp-fen1_DB_Sts_Pressure_MPa","2024-09-24 09:43:42","0.013","1","45559405351.8866"
"mp-fen1_DB_Sts_Humidity_pct","2024-09-24 09:43:42","49.0","1","45559405351.8866"
"mp-fen1_DB_Sts_DewPoint_cel","2024-09-24 09:43:42","5.0","1","45559405351.8866"
"mp-fen1_DB_Sts_Temperature_Cel","2024-09-24 09:43:47","24.9","1","45559405410.0116"
"mp-fen1_DB_Sts_InstantaneousFlow_m3h","2024-09-24 09:43:47","2.3","1","45559405410.0116"
"mp-fen1_DB_Sts_Pressure_MPa","2024-09-24 09:43:47","0.013","1","45559405410.0116"
"mp-fen1_DB_Sts_Humidity_pct","2024-09-24 09:43:47","49.0","1","45559405410.0116"
"mp-fen1_DB_Sts_DewPoint_cel","2024-09-24 09:43:47","5.0","1","45559405410.0116"
"mp-fen1_DB_Sts_Temperature_Cel","2024-09-24 09:43:52","24.9","1","45559405468.1366"
"mp-fen1_DB_Sts_InstantaneousFlow_m3h","2024-09-24 09:43:52","2.3","1","45559405468.1366"
"mp-fen1_DB_Sts_Pressure_MPa","2024-09-24 09:43:52","0.013","1","45559405468.1366"
"mp-fen1_DB_Sts_Humidity_pct","2024-09-24 09:43:52","49.0","1","45559405468.1366"
"mp-fen1_DB_Sts_DewPoint_cel","2024-09-24 09:43:52","5.0","1","45559405468.1366"
"mp-fen1_DB_Sts_Temperature_Cel","2024-09-24 09:43:57","24.9","1","45559405526.2731"
"mp-fen1_DB_Sts_InstantaneousFlow_m3h","2024-09-24 09:43:57","2.3","1","45559405526.2731"
"mp-fen1_DB_Sts_Pressure_MPa","2024-09-24 09:43:57","0.013","1","45559405526.2731"
"mp-fen1_DB_Sts_Humidity_pct","2024-09-24 09:43:57","49.0","1","45559405526.2731"
"mp-fen1_DB_Sts_DewPoint_cel","2024-09-24 09:43:57","5.0","1","45559405526.2731"
"$RT_OFF$","2024-09-24 09:44:00","0.0","2","45559405554.2824"
